"        $35,000 to $49,999","387,084","5,838","42,683","4,168","2,337","2,644","3,871","2,053","2,257","5,268","20,526","4,747","55,597","1,168","16,729","14,460","20,703","4,484","5,169","9,327","2,479","6,887","3,252","1,235","53,602","2,784","10,670","5,433","2,197","3,685","2,425","1,722","15,762","1,572","1,243","3,189","1,422","2,259","12,740"
"        $50,000 to $74,999","635,733","8,562","54,668","7,689","3,581","3,686","5,578","3,992","4,242","7,962","36,349","5,550","83,987","3,186","29,215","27,290","28,652","9,480","9,533","17,144","4,998","13,660","4,510","1,724","85,176","5,045","12,388","8,978","3,142","9,235","5,896","4,991","33,572","3,078","1,778","5,382","1,854","3,937","24,646"
"        $75,000 to $99,999","571,697","9,944","39,755","7,255","2,814","3,070","6,357","2,707","3,213","10,829","35,270","5,229","69,807","2,241","23,814","29,413","20,757","10,745","8,156","14,870","5,236","14,424","4,021","2,793","69,430","6,071","12,934","7,120","3,370","7,972","6,333","3,858","35,466","2,646","3,559","6,072","2,853","4,330","22,286"
"        $100,000 to $149,999","895,000","15,224","43,394","10,228","3,963","5,023","6,131","4,951","4,780","15,615","52,004","6,761","91,342","3,460","42,620","68,178","33,630","10,771","12,335","24,136","6,747","20,027","7,843","5,795","109,190","7,956","27,742","14,997","5,658","14,846","7,719","4,976","79,086","4,878","4,204","11,458","4,699","6,421","37,921"
"        $150,000 to $199,999","575,942","11,217","20,998","4,811","1,516","1,674","2,418","2,137","2,103","12,567","27,430","2,896","57,336","2,092","24,762","59,259","25,490","6,307","7,108","15,528","3,597","16,072","2,622","4,931","70,389","6,041","17,640","11,135","2,018","9,083","5,382","2,583","60,590","1,872","3,326","5,364","2,677","2,541","31,877"
"        $200,000 or more","956,683","11,230","21,058","4,523","579","1,225","1,929","1,159","1,616","16,073","30,576","1,926","108,159","2,094","22,987","133,073","131,499","5,502","3,846","16,689","4,049","18,312","2,485","7,397","86,471","6,551","23,391","20,595","1,824","14,117","5,619","2,106","110,541","2,590","3,835","7,928","2,010","1,927","97,790"
"        Median family income (dollars)","102,038","108,732","56,799","88,583","71,467","77,311","76,561","75,848","87,281","123,423","94,647","77,220","84,932","93,813","98,403","162,188","142,096","88,743","84,491","99,087","96,807","109,278","85,056","142,116","92,634","103,142","113,189","119,080","82,461","119,944","93,655","84,530","144,119","97,869","113,043","110,926","102,338","93,141","157,397"
"        Mean family income (dollars)","144,786","133,330","80,094","110,914","81,586","91,107","86,405","93,902","115,017","151,640","116,283","92,194","131,656","114,127","117,846","204,853","265,918","106,570","98,761","123,673","127,665","137,462","100,397","170,093","120,225","124,963","132,184","157,213","94,726","149,594","115,486","105,565","175,665","131,743","138,275","143,348","117,882","104,676","226,138"
"    Per capita income (dollars)","48,847","45,167","26,495","35,921","28,441","34,764","31,732","35,400","39,384","50,196","40,601","34,902","47,173","38,767","41,206","60,980","94,654","37,435","34,094","42,950","44,959","41,149","35,467","56,579","40,343","43,775","41,538","43,727","30,988","53,782","40,533","35,861","53,222","41,394","42,764","47,271","43,718","37,196","69,410"
"    Nonfamily households","3,057,455","65,284","211,743","34,059","13,564","11,595","21,076","14,103","13,577","41,820","174,869","18,154","441,554","10,402","133,923","106,113","466,077","36,893","40,314","84,833","18,868","38,631","17,998","10,155","292,863","26,836","47,713","25,743","19,072","39,815","27,823","14,702","146,964","11,616","23,318","30,937","12,892","14,501","124,950"
"        Median nonfamily income (dollars)","51,619","56,828","27,408","38,732","30,787","42,085","35,894","41,086","37,203","59,205","42,213","39,656","61,448","44,365","45,625","64,945","82,636","39,039","35,762","51,568","51,080","51,504","41,552","69,053","55,239","52,188","41,501","61,419","31,420","60,022","53,480","33,003","62,421","35,741","41,436","49,162","45,779","40,790","60,779"
"        Mean nonfamily income (dollars)","80,955","69,831","43,444","51,395","40,322","56,164","46,043","57,140","47,550","76,563","58,933","56,957","95,508","57,615","61,683","91,513","133,286","50,290","49,535","68,210","64,882","64,791","54,697","78,071","78,684","66,097","74,270","83,237","44,488","75,658","64,945","44,755","90,132","49,170","67,540","71,726","58,554","49,212","84,534"
"    Median earnings for workers (dollars)","50,072","47,912","34,913","38,884","37,147","41,670","37,370","39,491","44,832","51,551","44,624","37,460","50,983","41,543","45,707","62,354","76,645","44,016","41,576","45,731","45,219","47,100","41,759","61,549","46,238","51,168","54,220","48,491","35,684","55,062","49,815","44,512","53,606","46,275","36,478","48,708","46,367","46,032","61,823"
"    Median earnings for male full-time, year-round workers (dollars)","70,976","68,867","49,832","61,587","51,421","58,294","54,205","57,761","53,140","73,820","65,116","49,887","72,354","58,761","65,997","92,198","115,213","59,248","60,621","65,911","66,741","70,342","60,810","89,534","61,241","73,402","75,780","73,796","61,383","78,159","71,599","57,153","80,899","60,050","61,834","70,695","60,944","61,773","90,171"
"    Median earnings for female full-time, year-round workers (dollars)","62,019","61,138","47,320","48,539","46,779","48,042","48,448","51,081","54,487","62,910","53,863","46,628","66,281","57,439","56,313","78,722","94,538","51,060","50,376","57,496","56,148","60,708","50,047","80,956","59,952","64,324","65,977","67,409","46,138","60,147","60,231","52,824","66,575","51,930","60,049","57,829","56,129","53,846","80,342"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","19,372,405","313,017","1,341,331","193,024","74,747","72,041","122,840","79,384","75,610","290,973","939,039","102,302","2,546,527","66,437","741,314","1,373,135","1,590,419","207,571","221,106","461,504","111,575","399,699","117,406","97,624","2,238,623","158,025","487,243","338,867","104,705","237,258","158,249","91,233","1,513,639","78,003","102,738","178,537","64,744","90,266","980,385"
"        With health insurance coverage","18,434,090","303,256","1,251,910","186,054","70,699","68,962","115,792","76,199","73,617","279,080","910,848","95,533","2,418,237","62,930","718,934","1,318,982","1,526,808","199,122","213,834","448,648","107,684","379,791","111,430","94,217","2,064,511","151,148","467,788","320,678","100,650","231,333","155,302","87,836","1,443,520","74,504","96,931","165,795","62,725","85,295","933,497"
"            With private health insurance","12,616,363","234,591","610,185","125,026","42,589","45,128","77,035","48,662","53,002","222,057","636,601","67,783","1,406,220","46,771","506,478","1,054,634","1,128,959","142,041","140,678","318,395","82,333","254,321","75,622","78,303","1,266,076","114,643","332,169","194,427","69,768","187,692","112,355","58,536","1,148,160","46,698","79,204","119,012","46,101","58,837","730,637"
"            With public coverage","8,394,359","116,768","836,624","88,443","40,887","36,552","62,703","39,918","35,283","106,021","417,267","45,838","1,243,591","27,389","316,397","449,726","560,515","91,723","112,136","200,661","45,021","176,594","52,462","30,447","1,052,306","62,465","189,953","169,709","50,955","83,801","66,073","43,616","511,881","38,068","31,205","76,390","28,971","39,784","337,078"
"        No health insurance coverage","938,315","9,761","89,421","6,970","4,048","3,079","7,048","3,185","1,993","11,893","28,191","6,769","128,290","3,507","22,380","54,153","63,611","8,449","7,272","12,856","3,891","19,908","5,976","3,407","174,112","6,877","19,455","18,189","4,055","5,925","2,947","3,397","70,119","3,499","5,807","12,742","2,019","4,971","46,888"
"    Civilian noninstitutionalized population under 19 years","4,203,173","63,539","340,128","42,011","17,508","14,665","27,230","17,591","15,245","58,870","203,756","28,534","580,539","13,919","163,510","313,383","233,077","43,534","51,733","106,912","22,660","109,091","25,877","19,058","455,139","32,857","110,182","106,669","23,341","47,542","37,139","20,162","331,259","18,317","16,953","33,391","11,303","19,139","221,271"
"        No health insurance coverage","119,651","2,300","9,736","590","1,868","398","2,617","106","353","1,563","4,876","1,810","12,973","1,131","3,149","8,222","2,673","1,963","735","1,741","462","1,689","934","135","16,717","1,219","2,193","2,190","1,081","134","46","482","11,593","312","623","728","73","1,083","5,955"
"    Civilian noninstitutionalized population 19 to 64 years","11,630,235","192,349","803,805","112,829","41,535","41,402","69,112","45,585","45,432","174,968","552,126","56,759","1,559,708","38,547","438,088","800,333","1,062,677","120,832","125,339","268,534","63,505","230,845","70,071","59,027","1,371,959","95,883","291,998","178,965","60,719","140,481","93,256","51,855","906,815","44,833","68,294","105,934","37,259","52,101","578,535"
"        In labor force:","9,196,564","154,338","589,316","83,448","29,841","33,370","52,059","35,827","34,518","139,102","440,819","44,300","1,249,694","30,160","349,794","637,986","870,373","96,762","96,103","217,845","50,228","182,363","50,823","49,198","1,097,794","78,417","218,706","138,744","41,552","114,340","71,107","38,798","727,492","33,738","48,514","80,407","31,281","40,586","474,767"
"            Employed:","8,747,076","148,427","536,372","79,131","28,312","32,391","49,096","33,930","33,998","134,011","425,936","42,131","1,178,379","28,962","334,722","612,396","811,414","92,663","91,951","209,912","48,964","173,633","48,525","48,109","1,045,362","74,836","208,582","134,842","40,361","111,549","68,130","37,196","701,378","32,587","46,845","76,484","30,473","39,830","449,642"
"                With health insurance coverage","8,211,709","143,760","485,485","75,368","27,093","30,121","46,258","32,131","32,665","126,914","409,728","38,322","1,102,356","27,753","321,951","579,950","775,885","88,112","87,771","203,148","46,953","161,236","45,283","45,872","938,934","70,535","199,462","123,934","38,274","107,796","66,234","35,148","661,024","30,332","45,532","71,345","28,879","36,797","422,643"
"                    With private health insurance","6,827,630","125,151","320,499","61,324","22,157","24,585","37,607","26,048","27,932","114,199","345,100","31,654","845,720","24,513","278,089","525,834","694,949","75,202","69,980","173,166","41,008","132,262","38,186","43,206","716,285","62,459","172,729","95,798","32,789","98,840","57,786","29,362","593,530","22,105","41,328","60,407","24,355","31,400","375,648"
"                    With public coverage","1,669,605","22,569","203,300","16,675","6,588","7,158","12,277","7,605","6,741","18,013","79,094","9,355","291,315","4,443","54,992","64,938","99,121","15,866","20,925","38,737","7,354","34,880","9,570","3,483","259,798","10,293","31,956","31,254","8,018","12,077","10,741","6,729","82,688","8,439","5,188","12,550","5,063","6,679","61,406"
"                No health insurance coverage","535,367","4,667","50,887","3,763","1,219","2,270","2,838","1,799","1,333","7,097","16,208","3,809","76,023","1,209","12,771","32,446","35,529","4,551","4,180","6,764","2,011","12,397","3,242","2,237","106,428","4,301","9,120","10,908","2,087","3,753","1,896","2,048","40,354","2,255","1,313","5,139","1,594","3,033","26,999"
"            Unemployed:","449,488","5,911","52,944","4,317","1,529","979","2,963","1,897","520","5,091","14,883","2,169","71,315","1,198","15,072","25,590","58,959","4,099","4,152","7,933","1,264","8,730","2,298","1,089","52,432","3,581","10,124","3,902","1,191","2,791","2,977","1,602","26,114","1,151","1,669","3,923","808","756","25,125"
"                With health insurance coverage","388,100","5,107","44,852","3,594","1,284","972","2,599","1,300","388","3,973","13,042","2,024","61,736","1,118","13,649","23,407","49,668","3,872","3,590","6,976","972","7,523","2,102","1,060","44,682","3,329","9,158","3,798","1,131","2,280","2,733","1,451","21,197","1,006","1,379","3,618","744","638","21,946"
"                    With private health insurance","184,175","3,255","12,378","2,192","265","134","862","319","332","2,451","5,616","926","27,222","752","6,591","15,100","25,588","1,538","1,316","3,522","647","4,067","947","632","19,778","1,444","4,573","1,465","500","1,754","1,074","700","13,399","260","1,017","1,639","452","200","13,018"
"                    With public coverage","222,790","2,114","37,328","1,725","1,105","838","2,058","1,019","146","1,783","7,663","1,228","36,774","419","7,172","8,799","26,459","2,334","2,310","3,536","517","3,606","1,155","478","26,737","2,183","5,016","2,383","761","747","1,762","879","8,883","746","362","2,033","398","438","9,934"
"                No health insurance coverage","61,388","804","8,092","723","245","7","364","597","132","1,118","1,841","145","9,579","80","1,423","2,183","9,291","227","562","957","292","1,207","196","29","7,750","252","966","104","60","511","244","151","4,917","145","290","305","64","118","3,179"
"        Not in labor force:","2,433,671","38,011","214,489","29,381","11,694","8,032","17,053","9,758","10,914","35,866","111,307","12,459","310,014","8,387","88,294","162,347","192,304","24,070","29,236","50,689","13,277","48,482","19,248","9,829","274,165","17,466","73,292","40,221","19,167","26,141","22,149","13,057","179,323","11,095","19,780","25,527","5,978","11,515","103,768"
"            With health insurance coverage","2,238,439","36,177","196,081","27,670","10,985","7,656","15,936","9,092","10,739","33,927","106,527","11,478","285,610","7,332","83,257","152,603","179,184","22,515","27,569","47,819","12,151","44,154","17,770","8,823","238,049","16,363","66,879","35,417","18,340","24,975","21,424","12,400","167,114","10,308","16,309","19,571","5,690","10,778","94,182"
"                With private health insurance","1,177,607","22,763","67,053","15,567","4,596","3,398","8,170","4,061","5,369","22,449","52,702","7,398","113,855","4,489","42,106","107,235","102,078","11,017","12,866","23,115","7,598","23,906","9,938","5,289","117,150","8,900","35,752","18,332","8,696","16,616","11,066","5,843","114,701","4,477","12,472","10,621","2,893","5,820","66,414"
"                With public coverage","1,257,015","15,384","157,487","14,009","7,642","4,804","9,915","6,178","6,696","14,484","65,256","6,492","191,088","3,583","48,815","56,625","84,063","13,955","18,616","28,609","5,868","24,529","9,294","4,097","140,571","8,811","35,168","20,530","11,493","10,078","12,010","8,200","67,648","6,520","4,328","10,137","3,408","6,484","36,718"
"            No health insurance coverage","195,232","1,834","18,408","1,711","709","376","1,117","666","175","1,939","4,780","981","24,404","1,055","5,037","9,744","13,120","1,555","1,667","2,870","1,126","4,328","1,478","1,006","36,116","1,103","6,413","4,804","827","1,166","725","657","12,209","787","3,471","5,956","288","737","9,586"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Married couple families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"                With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Families with female householder, no spouse present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            With related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"                With related children of the householder under 5 years only","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    All people","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Related children of the householder under 18 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder under 5 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"                Related children of the householder 5 to 17 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        18 years and over","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            18 to 64 years","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            65 years and over","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        People in families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Unrelated individuals 15 years and over","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
